1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,,,,,,,,
2013,UCF,American,NO,Won,YES,YES,12,1,0.923,30.9,28.5207,8,0,100%,13.6,16.3,33.2,12.5,19.6,11.1,34.6,21.3,13.3,50,10,67.33,441.5,6.56,31.1,281.6,9.1,66.6,11,158.49,26,36.23,159.92,4.41,28,21,36,8,33,2,0,277,21.3,400,1592,3.98,21,30.77,122.46,479,272,56.8,3114,6.5,13,14,114.51,36.8,239.5,1592,3114,879,4706,5.35,362,41,923,22.51,0,3.2,71,18,194,10.78,0,1.4,14.9,62,1259,20.31,0,4.8,96.8,18,91,5.06,1,1.4,7,24,21,87.5,1.8,1.6,0,0,12,14,26,10,11,21,5,0.38,62,541,4.8,41.6,59%,57%,3413250,6,150345,18,9,14712259,15076308,-364049,"Public, 4-year or above",,,,,,,,
2013,Louisville,American,NO,Won,YES,YES,12,1,0.923,25.6,23.6288,7,1,88%,22.7,20.5,35.1,14.3,12.4,10.2,35.2,12.2,23,9,7,68.8,460.8,6.7,33.8,314,9.3,70.8,4,171.93,33,35,146.85,4.2,18,20,18,10,18,0,1,158,12.2,406,1049,2.58,10,31.23,80.69,373,189,50.7,2220,6,8,16,99.17,28.7,170.8,1049,2220,779,3269,4.2,251.5,28,636,22.71,1,2.2,48.9,27,206,7.63,1,2.1,15.8,68,1540,22.65,0,5.2,118.5,13,15,1.15,0,1,1.2,25,20,80,1.9,1.5,2,0.15,11,16,27,6,4,10,17,1.31,92,836,7.1,64.3,73%,79%,4993392,7,184966,22.5,13,28069712,23186536,4883176,"Public, 4-year or above",,,,,,,,
2013,Cincinnati,American,NO,Lost,YES,NO,9,4,0.692,26.8,18.5456,6,2,75%,13.8,22.7,33.3,15.4,19.5,11.8,32.1,21,11.1,50,50,75.77,472.1,6.23,36,303.8,8.4,66.2,17,149.6,28,39.77,168.31,4.23,28,7,34,12,29,1,1,273,21,423,1358,3.21,12,32.54,104.46,438,254,58,2745,6.3,16,13,116.74,33.7,211.2,1358,2745,861,4103,4.77,315.6,33,694,21.03,0,2.5,53.4,29,162,5.59,0,2.2,12.5,49,979,19.98,1,3.8,75.3,17,263,15.47,1,1.3,20.2,17,7,41.2,1.3,0.5,0,0,8,13,21,11,17,28,-7,-0.54,80,752,6.2,57.8,64%,69%,4625148,6.5,118770,21,13,16458502,16458502,0,"Public, 4-year or above",,,,,,,,
2013,Houston,American,NO,Lost,YES,NO,8,5,0.615,29.9,18.3885,5,3,63%,13.8,18.9,33.9,16.9,20.2,11.3,33.2,21.8,11.4,50,50,73.26,419.5,5.72,39.8,280.5,7,57.7,10,132.11,30,33.46,139,4.15,19,17,34,17,28,0,0,283,21.8,541,1937,3.58,18,41.62,149,493,298,60.4,3468,7,15,25,119.44,37.9,266.8,1937,3468,1034,5405,5.23,415.8,47,1187,25.26,1,3.6,91.3,20,73,3.65,0,1.5,5.6,42,903,21.5,0,3.2,69.5,18,73,4.06,0,1.4,5.6,23,17,73.9,1.8,1.3,4,0.31,18,25,43,8,10,18,25,1.92,98,881,7.5,67.8,0%,0%,3105078,4.5,145714,17.5,9,8513411,8513411,0,"Public, 4-year or above",,,,,,,,
2013,SMU,American,NO,No Appearance,NO,NO,5,7,0.417,26.1,10.8837,4,4,50%,-6.6,17.3,26.8,17.0,33.3,14.4,26.8,33.3,-6.5,50,50,78.77,435.2,5.53,51.6,341.4,6.6,64.6,12,128.6,23,27.17,93.75,3.45,13,18,54,9,45,2,0,400,33.3,446,1689,3.79,23,37.17,140.75,441,286,64.9,3262,7.4,24,11,139.95,36.8,271.8,1689,3262,887,4951,5.58,412.6,47,907,19.3,0,3.9,75.6,17,134,7.88,1,1.4,11.2,37,805,21.76,1,3.1,67.1,15,240,16,1,1.3,20,21,18,85.7,1.8,1.5,2,0.17,6,11,17,12,12,24,-7,-0.58,90,770,7.5,64.2,0%,0%,8684721,6.5,235347,17,9,14586736,14586736,0,"Private nonprofit, 4-year or above",,,,,,,,
2013,Rutgers,American,NO,Lost,YES,NO,6,7,0.462,25.2,11.6424,3,5,38%,-2.4,22.8,27.4,14.4,29.8,19.0,26.5,29.8,-3.3,50,50,69,365.2,5.29,34,235.6,6.9,54.3,22,118.98,22,35,129.54,3.7,17,13,49,15,46,1,0,387,29.8,423,1310,3.1,17,32.54,100.77,521,331,63.5,4056,7.8,31,8,145.49,40.1,312,1310,4056,944,5366,5.68,412.8,47,1057,22.49,2,3.6,81.3,19,216,11.37,2,1.5,16.6,51,942,18.47,0,3.9,72.5,16,102,6.38,0,1.2,7.8,19,13,68.4,1.5,1,4,0.31,10,8,18,8,22,30,-12,-0.92,84,699,6.5,53.8,61%,61%,5543376,8,124401,21.25,9,19522057,19522057,0,"Public, 4-year or above",,,,,,,,
2013,Connecticut,American,NO,No Appearance,NO,NO,3,9,0.25,22.9,5.725,3,5,38%,-9.7,21.0,20.6,9.7,30.3,14.5,20.6,30.3,-9.7,50,50,68.85,318.3,4.62,36.6,234.2,6.4,54.9,18,112.5,16,32.25,84.17,2.61,12,10,46,14,43,0,1,363,30.3,440,1625,3.69,17,36.67,135.42,396,221,55.8,2990,7.6,23,13,131.84,33,249.2,1625,2990,836,4615,5.52,384.6,40,747,18.68,0,3.3,62.3,20,62,3.1,0,1.7,5.2,43,1035,24.07,0,3.6,86.3,28,197,7.04,1,2.3,16.4,16,10,62.5,1.3,0.8,0,0,11,13,24,7,18,25,-1,-0.08,56,490,4.7,40.8,17%,17%,4984927,8,111683,26,13,11142560,13711350,-2568790,"Public, 4-year or above",,,,,,,,
2013,South Florida,American,NO,No Appearance,NO,NO,2,10,0.167,25.1,4.1917,2,6,25%,-14.8,12.7,13.8,8.0,28.6,12.7,13.8,28.6,-14.8,50,50,59.63,256.4,4.3,29.8,166.8,5.6,46.5,16,91.12,7,29.83,89.58,3,4,18,43,14,41,0,1,343,28.6,435,1677,3.86,16,36.25,139.75,342,215,62.9,2532,7.4,19,11,136.96,28.5,211,1677,2532,777,4209,5.42,350.8,47,932,19.83,0,3.9,77.7,14,198,14.14,1,1.2,16.5,26,658,25.31,0,2.2,54.8,26,138,5.31,0,2.2,11.5,23,18,78.3,1.9,1.5,3,0.25,14,11,25,12,16,28,-3,-0.25,102,872,8.5,72.7,37%,25%,3099540,6.5,119714,19.4,9,16295130,12027850,4267280,"Public, 4-year or above",,,,,,,,
2013,Memphis,American,NO,No Appearance,NO,NO,3,9,0.25,24.1,6.025,1,7,13%,-5.1,16.2,19.5,6.1,24.6,12.8,19.5,24.6,-5.1,50,50,66.6,311.5,4.68,30.1,173.2,5.8,57.1,11,107.55,9,36.5,138.33,3.79,14,16,37,12,35,1,0,295,24.6,421,1396,3.32,16,35.08,116.33,436,265,60.8,3052,7,18,11,128.15,36.3,254.3,1396,3052,857,4448,5.19,370.7,47,1088,23.15,0,3.9,90.7,27,204,7.56,0,2.3,17,28,590,21.07,0,2.3,49.2,20,136,6.8,1,1.7,11.3,18,16,88.9,1.5,1.3,2,0.17,7,11,18,15,11,26,-8,-0.67,92,862,7.7,71.8,46%,46%,4702636,6.5,157401,19,9,11253801,11253801,0,"Public, 4-year or above",,,,,,,,
2013,Temple,American,NO,No Appearance,NO,NO,2,10,0.167,22.6,3.7742,1,7,13%,-4.9,13.7,24.9,13.2,29.8,11.5,24.9,29.8,-4.9,50,50,69.97,399,5.7,34.8,249.7,7.2,56.2,11,129.32,23,35.17,149.33,4.25,17,3,42,21,41,0,1,358,29.8,458,2108,4.6,17,38.17,175.67,431,278,64.5,3583,8.3,24,3,151.31,35.9,298.6,2108,3583,889,5691,6.4,474.3,47,927,19.72,0,3.9,77.3,19,95,5,1,1.6,7.9,47,1000,21.28,0,3.9,83.3,24,109,4.54,0,2,9.1,9,3,33.3,0.8,0.3,2,0.17,10,3,13,8,11,19,-6,-0.5,77,641,6.4,53.4,33%,33%,5781258,7.5,121615,15.7,13,13182525,13182525,0,"Public, 4-year or above",,,,,,,,
2013,Baylor,Big 12,YES,Lost,YES,NO,11,2,0.846,37,31.302,8,1,89%,32.1,29.4,53.3,19.4,21.2,15.8,52.4,23.5,28.9,50,3,82.73,618.2,7.48,34.5,359.1,10.4,61.8,6,172.46,35,48.23,259.08,5.37,47,15,41,7,37,0,1,306,23.5,545,1886,3.46,15,41.92,145.08,440,212,48.2,2794,6.4,23,19,110.13,33.8,214.9,1886,2794,985,4680,4.75,360,48,1056,22,1,3.7,81.2,28,238,8.5,2,2.2,18.3,70,1401,20.01,0,5.4,107.8,12,202,16.83,0,0.9,15.5,24,15,62.5,1.8,1.2,2,0.15,10,19,29,10,6,16,13,1,120,1074,9.2,82.6,59%,62%,7542652,5.39,237739,17.95,9,26270277,20299526,5970751,"Private nonprofit, 4-year or above",,,,,,,,
2013,Oklahoma,Big 12,YES,Won,YES,YES,11,2,0.846,40.8,34.5168,7,2,78%,10.5,19.3,31.8,12.4,21.3,12.0,32.8,22.1,10.7,16,6,72.5,423,5.84,29.5,199.1,6.8,58.7,11,130.45,24,43,223.92,5.21,19,24,36,13,32,0,0,287,22.1,437,1789,4.09,17,33.62,137.62,409,225,55,2763,6.8,17,16,117.65,31.5,212.5,1789,2763,846,4552,5.38,350.2,34,761,22.38,0,2.6,58.5,23,326,14.17,2,1.8,25.1,36,838,23.28,0,2.8,64.5,20,312,15.6,1,1.5,24,27,24,88.9,2.1,1.8,3,0.23,9,16,25,5,11,16,9,0.69,87,723,6.7,55.6,79%,79%,5185922,7.5,207792,23.5,11,69647986,24533905,45114081,"Public, 4-year or above",,,,,,,,
2013,Oklahoma State,Big 12,YES,Lost,YES,NO,10,3,0.769,40.7,31.2983,7,2,78%,19.8,18.6,39.8,14.9,20.0,12.6,39.1,21.6,17.5,13,6,75.89,448.8,5.91,37.2,277.2,7.4,57.9,13,132.74,26,38.69,171.62,4.44,35,11,33,17,30,1,0,281,21.6,508,1851,3.64,11,39.08,142.38,541,290,53.6,3153,5.8,16,21,104.56,41.6,242.5,1851,3153,1049,5004,4.77,384.9,38,871,22.92,1,2.9,67,30,403,13.43,2,2.3,31,66,1237,18.74,0,5.1,95.2,19,199,10.47,1,1.5,15.3,18,11,61.1,1.4,0.8,4,0.31,12,21,33,5,13,18,15,1.15,87,780,6.7,60,66%,66%,2606766,6.5,264861,20,9,38799125,19950826,18848299,"Public, 4-year or above",,,,,,,,
2013,Texas,Big 12,YES,Lost,YES,NO,8,5,0.615,36.8,22.632,7,2,78%,5.7,23.1,31.2,13.3,25.5,13.3,29.3,25.8,3.5,15,15,77.35,408.7,5.29,33.2,212.5,6.4,57.1,15,117.73,18,44.15,196.23,4.44,25,20,39,21,37,0,1,336,25.8,547,2380,4.35,21,42.08,183.08,419,238,56.8,2914,7,13,10,120.69,32.2,224.2,2380,2914,966,5294,5.48,407.2,41,862,21.02,0,3.2,66.3,31,355,11.45,1,2.4,27.3,44,1098,24.95,0,3.4,84.5,14,121,8.64,1,1.1,9.3,22,20,90.9,1.7,1.5,2,0.15,16,10,26,7,15,22,4,0.31,67,597,5.2,45.9,65%,46%,5172409,7,258108,22.5,12,109400688,27675403,81725285,"Public, 4-year or above",,,,,,,,
2013,Kansas State,Big 12,YES,Won,YES,YES,8,5,0.615,34,20.91,5,4,56%,9.8,17.0,33.4,9.2,23.7,11.7,33.2,22.9,10.3,50,50,63.74,402.7,6.32,24.2,224.7,9.3,62.7,13,155.73,22,39.54,178,4.5,29,14,35,18,32,1,0,298,22.9,461,1808,3.92,20,35.46,139.08,458,277,60.5,2857,6.2,13,17,114.83,35.2,219.8,1808,2857,919,4665,5.08,358.8,37,866,23.41,1,2.8,66.6,16,200,12.5,0,1.2,15.4,54,1107,20.5,1,4.2,85.2,10,128,12.8,0,0.8,9.8,18,14,77.8,1.4,1.1,5,0.38,8,17,25,12,13,25,0,0,66,585,5.1,45,67%,67%,3504789,4.5,206964,16.5,9,30976071,16421248,14554823,"Public, 4-year or above",,,,,,,,
2013,Texas Tech,Big 12,YES,Won,YES,YES,8,5,0.615,36.7,22.5705,4,5,44%,4.5,25.5,35.7,12.9,31.2,18.1,35.8,30.5,5.3,50,10,87.28,510.7,5.85,54.9,392.8,7.2,63.4,18,134.68,35,32.38,117.85,3.64,19,23,51,14,49,0,0,397,30.5,576,2621,4.55,32,44.31,201.62,439,248,56.5,2822,6.4,16,8,118.88,33.8,217.1,2621,2822,1015,5443,5.36,418.7,37,885,23.92,1,2.8,68.1,31,212,6.84,0,2.4,16.3,47,1025,21.81,1,3.6,78.8,34,368,10.82,1,2.6,28.3,27,23,85.2,2.1,1.8,2,0.15,11,8,19,15,18,33,-14,-1.08,104,978,8,75.2,48%,48%,3357956,5.5,204581,18.5,13,34580384,15358775,19221609,"Public, 4-year or above",,,,,,,,
2013,TCU,Big 12,YES,No Appearance,NO,NO,4,8,0.333,34.4,11.4552,2,7,22%,-0.2,15.0,25.1,12.7,25.3,8.6,25.1,25.3,-0.2,20,20,68.48,344.8,5.03,34.9,226.3,6.5,57.3,17,114.63,14,33.58,118.58,3.53,20,14,33,24,33,0,0,303,25.3,474,1570,3.31,14,39.5,130.83,412,213,51.7,2707,6.6,14,19,108.88,34.3,225.6,1570,2707,886,4277,4.83,356.4,39,1025,26.28,2,3.3,85.4,26,299,11.5,0,2.2,24.9,28,711,25.39,1,2.3,59.3,17,183,10.76,1,1.4,15.3,18,14,77.8,1.5,1.2,0,0,9,19,28,13,17,30,-2,-0.17,79,649,6.6,54.1,75%,75%,7573341,6,191756,19,13,32464146,31199116,1265030,"Private nonprofit, 4-year or above",,,,,,,,
2013,West Virginia,Big 12,YES,No Appearance,NO,NO,4,8,0.333,29.3,9.7569,2,7,22%,-7.0,19.1,26.3,14.5,33.3,18.1,26.3,33.3,-7,50,50,74.28,410.8,5.53,38.7,262.1,6.8,54.1,16,115.52,16,35.58,148.67,4.18,18,17,48,21,47,1,0,400,33.3,520,2292,4.41,23,43.33,191,401,244,60.8,3160,7.9,24,12,140.8,33.4,263.3,2292,3160,921,5452,5.92,454.3,53,984,18.57,0,4.4,82,19,61,3.21,0,1.6,5.1,42,963,22.93,0,3.5,80.3,29,147,5.07,0,2.4,12.3,23,17,73.9,1.9,1.4,2,0.17,16,12,28,16,16,32,-4,-0.33,63,588,5.3,49,55%,55%,4803957,5.5,236189,20,12,26190883,15977317,10213566,"Public, 4-year or above",,,,,,,,
2013,Iowa State,Big 12,YES,No Appearance,NO,NO,3,9,0.25,31.4,7.85,2,7,22%,-11.2,26.7,24.8,13.8,36.0,18.8,24.8,36,-11.2,50,50,75.27,363,4.82,34.6,219.2,6.3,55.9,14,117.49,19,40.67,143.83,3.54,16,13,56,14,54,0,0,432,36,502,2688,5.35,33,41.83,224,416,239,57.5,2869,6.9,17,8,125.02,34.7,239.1,2688,2869,918,5557,6.05,463.1,49,1085,22.14,2,4.1,90.4,20,178,8.9,0,1.7,14.8,34,642,18.88,1,2.8,53.5,16,182,11.38,2,1.3,15.2,20,13,65,1.7,1.1,2,0.17,13,8,21,8,14,22,-1,-0.08,66,564,5.5,47,39%,39%,3687195,4.5,184849,17.5,9,29475730,14984494,14491236,"Public, 4-year or above",,,,,,,,
2013,Kansas,Big 12,YES,No Appearance,NO,NO,3,9,0.25,31.5,7.875,1,8,11%,-16.5,20.1,15.3,8.9,31.8,14.8,15.3,31.8,-16.5,50,50,68.73,294.7,4.29,27.4,140.4,5.1,46.8,12,91.57,9,41.33,154.25,3.73,12,11,48,15,45,1,1,382,31.8,485,2287,4.72,25,40.42,190.58,406,234,57.6,2901,7.1,20,14,127.02,33.8,241.8,2287,2901,891,5188,5.82,432.3,44,927,21.07,0,3.7,77.3,18,203,11.28,0,1.5,16.9,22,492,22.36,1,1.8,41,35,172,4.91,0,2.9,14.3,17,11,64.7,1.4,0.9,4,0.33,10,14,24,11,12,23,1,0.08,88,713,7.3,59.4,0%,0%,5927510,4.5,234816,17.5,11,20949893,14330947,6618946,"Public, 4-year or above",,,,,,,,
2013,Ohio State,Big Ten (Leaders),YES,Lost,YES,NO,12,2,0.857,35.4,30.3378,8,1,89%,25.0,24.0,46.3,14.4,21.3,13.6,45.5,22.6,22.9,2,2,71.66,511.9,7.15,26.3,203.3,7.7,64.7,9,158.83,38,45.36,308.64,6.8,45,9,42,9,36,1,0,317,22.6,466,1532,3.29,9,33.29,109.43,534,330,61.8,3752,7,31,16,133.99,38.1,268,1532,3752,1000,5284,5.28,377.4,29,665,22.93,0,2.1,47.5,30,243,8.1,1,2.1,17.4,74,1361,18.39,0,5.3,97.2,7,115,16.43,1,0.5,8.2,10,9,90,0.7,0.6,3,0.21,8,16,24,10,9,19,5,0.36,73,638,5.2,45.6,85%,93%,7761328,14,191672,32.5,9,61131726,22984985,38146741,"Public, 4-year or above",,,,,,,,
2013,Wisconsin,Big Ten (Leaders),YES,Lost,YES,NO,9,4,0.692,34.9,24.1508,6,2,75%,20.9,20.2,35.8,12.1,14.8,13.1,34.8,16.3,18.5,23,14,70.15,480.8,6.85,27.3,197.1,7.2,61.1,15,133.75,22,42.85,283.77,6.62,35,14,25,13,21,1,0,212,16.3,414,1333,3.22,8,31.85,102.54,425,227,53.4,2633,6.2,16,9,113.63,32.7,202.5,1333,2633,839,3966,4.73,305.1,31,716,23.1,1,2.4,55.1,28,208,7.43,0,2.2,16,68,1313,19.31,0,5.2,101,13,94,7.23,0,1,7.2,21,14,66.7,1.6,1.1,2,0.15,11,9,20,4,15,19,1,0.08,55,484,4.2,37.2,50%,0%,5797030,10.5,143802,26.82,13,50641993,31811280,18830713,"Public, 4-year or above",,,,,,,,
2013,Penn State,Big Ten (Leaders),YES,No Appearance,NO,NO,7,5,0.583,29.6,17.2568,4,4,50%,2.5,23.9,28.7,11.6,26.2,17.0,28.7,26.2,2.5,50,50,75.85,433.2,5.71,34.1,259.2,7.6,58.9,10,134.84,21,41.75,174,4.17,22,15,38,15,37,1,1,314,26.2,441,1728,3.92,16,36.75,144,423,249,58.9,2848,6.7,18,13,123.32,35.3,237.3,1728,2848,864,4576,5.3,381.3,36,689,19.14,0,3,57.4,23,184,8,0,1.9,15.3,49,1186,24.2,2,4.1,98.8,12,40,3.33,0,1,3.3,23,15,65.2,1.9,1.3,1,0.08,7,13,20,12,10,22,-2,-0.17,55,403,4.6,33.6,60%,54%,8460160,12.5,145163,34.35,9,58722182,28637144,30085038,"Public, 4-year or above",,,,,,,,
2013,Indiana,Big Ten (Leaders),YES,No Appearance,NO,NO,5,7,0.417,28.9,12.0513,3,5,38%,-0.4,26.0,38.4,18.8,38.8,13.1,38.4,38.8,-0.4,50,50,77.37,508.5,6.58,39.2,306.7,7.8,59.4,14,144.45,36,38.17,201.83,5.29,25,9,63,9,61,0,0,466,38.8,525,2853,5.43,35,43.75,237.75,415,253,61,3482,8.4,24,7,147.15,34.6,290.2,2853,3482,940,6335,6.74,527.9,50,1052,21.04,0,4.2,87.7,10,130,13,1,0.8,10.8,36,643,17.86,0,3,53.6,15,140,9.33,1,1.3,11.7,11,9,81.8,0.9,0.8,3,0.25,10,7,17,6,14,20,-3,-0.25,62,515,5.2,42.9,27%,27%,6523825,8.5,144451,24.5,9,24370088,15901109,8468979,"Public, 4-year or above",,,,,,,,
2013,Illinois,Big Ten (Leaders),YES,No Appearance,NO,NO,4,8,0.333,26.1,8.6913,1,7,13%,-5.8,22.0,29.7,13.5,35.4,15.6,29.7,35.4,-5.7,50,50,72.15,426.7,5.91,37.9,287.7,7.6,66.4,14,140.63,23,34.25,139,4.06,20,12,55,13,52,0,2,425,35.4,513,2863,5.58,29,42.75,238.58,354,231,65.3,2915,8.2,25,3,156.03,29.5,242.9,2863,2915,867,5778,6.66,481.5,52,1015,19.52,1,4.3,84.6,21,272,12.95,1,1.8,22.7,29,719,24.79,0,2.4,59.9,20,117,5.85,0,1.7,9.8,17,12,70.6,1.4,1,0,0,8,3,11,7,14,21,-10,-0.83,70,563,5.8,46.9,45%,32%,6237762,8,156501,22,13,29267805,16551097,12716708,"Public, 4-year or above",,,,,,,,
2013,Purdue,Big Ten (Leaders),YES,No Appearance,NO,NO,1,11,0.083,29.1,2.4153,0,8,0%,-23.1,16.8,14.9,10.7,38.0,15.3,14.9,38,-23.1,50,50,62.08,282.9,4.56,35.5,215.8,6.1,55.2,13,111.75,15,26.58,67.08,2.52,6,6,61,9,61,0,1,456,38,529,2825,5.34,28,44.08,235.42,357,233,65.3,2694,7.5,27,13,146.34,29.8,224.5,2825,2694,886,5519,6.23,459.9,49,1129,23.04,2,4.1,94.1,9,104,11.56,0,0.8,8.7,31,760,24.52,1,2.6,63.3,23,75,3.26,0,1.9,6.3,12,6,50,1,0.5,1,0.08,7,13,20,9,13,22,-2,-0.17,61,515,5.1,42.9,40%,17%,6128449,6.8,159589,24.5,13,20215316,17656933,2558383,"Public, 4-year or above",,,,,,,,
2013,Michigan State,Big Ten (Legends),YES,Won,YES,YES,13,1,0.929,35.8,33.2582,9,0,100%,17.1,11.6,29.8,12.8,12.7,9.7,29.4,13.2,16.2,50,3,71.34,385.5,5.4,30.7,211.7,6.9,57.7,7,129.96,23,40.64,173.79,4.28,23,19,21,13,20,0,0,185,13.2,425,1212,2.85,8,30.36,86.57,448,213,47.5,2319,5.2,12,17,92.28,32,165.6,1212,2319,873,3531,4.04,252.2,18,345,19.17,0,1.3,24.6,36,353,9.81,0,2.6,25.2,45,953,21.18,0,3.2,68.1,18,120,6.67,0,1.3,8.6,22,19,86.4,1.6,1.4,1,0.07,11,17,28,8,7,15,13,0.93,76,706,5.4,50.4,66%,71%,6403695,9,153983,26.83,13,47869615,20624183,27245432,"Public, 4-year or above",,,,,,,,
2013,Nebraska,Big Ten (Legends),YES,Won,YES,YES,9,4,0.692,33,22.836,5,3,63%,7.3,22.7,32.6,14.4,25.3,11.8,31.9,24.8,7.1,18,18,74.02,412.4,5.57,29.1,196.7,6.8,57.7,13,129.45,25,44.92,215.69,4.8,24,13,38,19,36,0,1,323,24.8,537,2029,3.78,21,41.31,156.08,388,210,54.1,2790,7.2,17,14,121.76,29.8,214.6,2029,2790,925,4819,5.21,370.7,41,934,22.78,1,3.2,71.8,23,70,3.04,0,1.8,5.4,28,566,20.21,0,2.2,43.5,15,121,8.07,0,1.2,9.3,14,13,92.9,1.1,1,1,0.08,4,14,18,16,13,29,-11,-0.85,77,676,5.9,52,54%,0%,5931596,7.5,180603,21.92,11,55866615,21359309,34507306,"Public, 4-year or above",,,,,,,,
2013,Iowa,Big Ten (Legends),YES,Lost,YES,NO,8,5,0.615,34.8,21.402,5,3,63%,8.6,20.1,27.3,13.1,18.8,9.6,26.3,18.9,7.4,50,50,71.57,376.9,5.26,28.8,197.1,6.8,56.8,15,122.91,19,42.77,179.85,4.21,18,16,30,12,30,0,0,246,18.9,466,1669,3.58,8,35.85,128.38,395,217,54.9,2271,5.7,20,13,113.36,30.4,174.7,1669,2271,861,3940,4.58,303.1,39,857,21.97,0,3,65.9,24,337,14.04,2,1.8,25.9,39,908,23.28,0,3,69.8,21,103,4.9,0,1.6,7.9,22,16,72.7,1.7,1.2,0,0,8,13,21,7,15,22,-1,-0.08,52,425,4,32.7,55%,58%,5664561,8.5,197437,26.33,13,55648679,21497369,34151310,"Public, 4-year or above",,,,,,,,
2013,Minnesota,Big Ten (Legends),YES,Lost,YES,NO,8,5,0.615,31.4,19.311,4,4,50%,4.1,17.8,26.4,16.6,22.3,9.7,25.7,22.2,3.5,50,50,65.58,343.3,5.23,20.5,148.1,7.2,51.3,7,121.46,12,45.08,195.23,4.33,23,14,36,14,31,0,0,289,22.2,453,2056,4.54,19,34.85,158.15,405,247,61,2796,6.9,16,10,127.08,31.2,215.1,2056,2796,858,4852,5.66,373.2,40,884,22.1,1,3.1,68,19,170,8.95,1,1.5,13.1,46,946,20.57,0,3.5,72.8,26,271,10.42,0,2,20.8,18,14,77.8,1.4,1.1,4,0.31,9,10,19,9,7,16,3,0.23,57,469,4.4,36.1,61%,49%,4466663,10.5,149151,25.5,9,36028193,20839079,15189114,"Public, 4-year or above",,,,,,,,
2013,Michigan,Big Ten (Legends),YES,Lost,YES,NO,7,6,0.538,34.2,18.3996,3,5,38%,7.3,18.4,33.8,17.2,26.5,12.2,32.2,26.8,5.4,17,11,68.71,373.5,5.44,30.4,247.8,8.2,60,13,139.45,21,38.31,125.69,3.28,27,18,40,24,37,0,0,349,26.8,478,1822,3.81,14,36.77,140.15,434,243,56,3007,6.9,23,17,123.85,33.4,231.3,1822,3007,912,4829,5.29,371.5,51,1128,22.12,0,3.9,86.8,18,114,6.33,1,1.4,8.8,34,792,23.29,0,2.6,60.9,28,178,6.36,0,2.2,13.7,25,18,72,1.9,1.4,2,0.15,9,17,26,8,13,21,5,0.38,54,448,4.2,34.5,68%,0%,9997597,13,173396,31,13,81475191,23061374,58413817,"Public, 4-year or above",,,,,,,,
2013,Northwestern,Big Ten (Legends),YES,No Appearance,NO,NO,5,7,0.417,30.2,12.5934,1,7,13%,-0.9,16.3,26.2,14.6,27.1,7.3,26.2,27.1,-0.9,22,16,74.05,399.6,5.39,31.8,227.2,7.1,63.1,13,129.18,15,42.25,172.42,4.08,16,23,40,16,35,1,0,325,27.1,485,2012,4.15,16,40.42,167.67,445,266,59.8,3069,6.9,20,19,124,37.1,255.8,2012,3069,930,5081,5.46,423.4,30,652,21.73,0,2.5,54.3,9,64,7.11,0,0.8,5.3,43,829,19.28,0,3.6,69.1,16,61,3.81,1,1.3,5.1,25,23,92,2.1,1.9,2,0.17,4,19,23,7,13,20,3,0.25,49,417,4.1,34.8,53%,53%,8929165,8.5,154407,21,13,30143982,21722796,8421186,"Private nonprofit, 4-year or above",,,,,,,,
2013,Marshall,CUSA (East),NO,Won,YES,YES,10,4,0.714,19.2,13.7088,7,2,78%,19.8,24.0,43.0,14.3,23.2,14.5,42.1,22.9,19.2,50,50,78.09,500.4,6.41,37.3,294.4,7.9,60.3,10,149.4,42,40.79,205.93,5.05,34,11,40,14,33,3,0,321,22.9,607,2249,3.71,20,43.36,160.64,446,230,51.6,2913,6.5,17,18,110.94,31.9,208.1,2249,2913,1053,5162,4.9,368.7,47,1121,23.85,0,3.4,80.1,35,431,12.31,1,2.5,30.8,46,896,19.48,0,3.3,64,21,195,9.29,2,1.5,13.9,16,11,68.8,1.1,0.8,1,0.07,8,18,26,13,10,23,3,0.21,84,649,6,46.4,62%,62%,3387725,5.39,78831,16.88,13,7760381,7083399,676982,"Public, 4-year or above",,,,,,,,
2013,East Carolina,CUSA (East),NO,Won,YES,YES,10,3,0.769,16.8,12.9192,6,2,75%,15.3,21.8,40.4,16.3,25.2,14.1,40.2,24.8,15.4,50,50,79.12,468.2,5.92,43.5,328.1,7.5,70.3,10,150.58,35,35.62,140.08,3.93,30,16,39,16,38,0,1,322,24.8,465,1517,3.26,12,35.77,116.69,514,304,59.1,3277,6.4,24,18,121.1,39.5,252.1,1517,3277,979,4794,4.9,368.8,28,703,25.11,0,2.2,54.1,30,308,10.27,0,2.3,23.7,55,1206,21.93,0,4.2,92.8,22,151,6.86,0,1.7,11.6,26,16,61.5,2,1.2,0,0,6,18,24,6,10,16,8,0.62,69,584,5.3,44.9,59%,59%,4095336,6,120032,20.5,13,10083420,9915950,167470,"Public, 4-year or above",,,,,,,,
